id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1828843399656681965,"Araceli Saucedo y José Sabino Herrera, senadores electos por el PRD, acaban de brincar a la bancada de #Morena. Le falta un voto a Morena para la mayoría calificada. Estamos a un voto de que deje de existir ""la oposición"".

Todos los ojos en los senadores del PRI, PAN y MC.",https://x.com/RobertoMadrazo_/status/1828843399656681965,tweet,Roberto Madrazo,@RobertoMadrazo_,28,4,123,245,2712,0,2024-08-28 11:13:39,,
1828619467427135798,"Así reciben los trabajadores de la @SCJN a la Ministra Piña y así a la Ministra Loretta Ortiz. 

La primera luchó hasta el último día por la independencia de los jueces, la segunda entregó a los jueces como una ofrenda al Tlatoani. https://t.co/5V067qXgdW",https://x.com/RobertoMadrazo_/status/1828619467427135798,tweet,Roberto Madrazo,@RobertoMadrazo_,51,5,288,652,10841,12,2024-08-27 20:23:49,"https://pbs.twimg.com/amplify_video_thumb/1828619375978651649/img/YDL7WQ_eQw11VOcV.jpg,https://pbs.twimg.com/amplify_video_thumb/1828619376158781440/img/yhRcOLcdIoKK6TBC.jpg",https://video.twimg.com/amplify_video/1828619375978651649/vid/avc1/364x640/vYJ9oKYdeaE2-U2O.mp4?tag=16https://video.twimg.com/amplify_video/1828619376158781440/vid/avc1/364x640/C3rVy6FINQ-Mjhh9.mp4?tag=16
1828508126632685721,"Una buena noticia. La @SCJN admitió a trámite la contradicción de criterios 231/2024 interpuesta por el Partido Acción Nacional para revertir la mayoría calificada de Morena y aliados. 

De acuerdo con la denuncia presentada, en 1998 la #Corte sostuvo que el límite a la representación proporcional busca evitar una sobrerrepresentación de los partidos dominantes, y por tanto, dicho límite es aplicable tanto a partidos como a coaliciones.

Por su parte, el #TEPJF en 2018 sostuvo que el tope a la sobrerrepresentación solo aplica a partidos, no a coaliciones. 

El criterio que dicte la #SCJN fijará el criterio que deberá seguir el #TEPJF para el computo de los curules, pero solo será obligatorio para el TEPJF si se llega a aprobar este jueves por el Pleno de la Corte antes de sesione el Tribunal Electoral.",https://x.com/RobertoMadrazo_/status/1828508126632685721,tweet,Roberto Madrazo,@RobertoMadrazo_,41,9,543,1269,19630,24,2024-08-27 13:01:24,,
1828495735446479090,"Lo que nos faltaba, @lopezobrador_ anuncia que pausará la relación con las embajadas de Estados Unidos y Canadá, tras sus posturas en contra de la reforma al Poder Judicial. 

Es increíble que los rencores personales de López Obrador estén por encima de los más de 10 millones de empleos formales que dan las empresas estadounidenses en México. 

La incapacidad de dialogar de López Obrador, y la falta de valor de los morenistas para enfrentar al Presidente, podrían desatar una crisis económica sin precedentes. 

Así lo han advertido medios internacionales como @washingtonpost, bancos internacionales y la @AmChamMexico.  

Sin embargo, el llamado ha sido ignorado. Pronto será muy tarde para dar vuelta atrás.",https://x.com/RobertoMadrazo_/status/1828495735446479090,tweet,Roberto Madrazo,@RobertoMadrazo_,139,15,501,1242,16058,11,2024-08-27 12:12:09,,
1828193129188786537,"Hoy la Comisión de Puntos Constitucionales de la Cámara de Diputados inicia la discusión del dictamen de la reforma al #PoderJudicial. 

El dictamen propone una renovación total de jueces y magistrados en dos etapas, la primera en 2025 y la segunda en 2027.

Voces de todo el mundo han alertado que la reforma al #PoderJudicial es un debilitamiento a la independencia judicial y al estado de derecho, que pone en riesgo la inversión extranjera directa y los acuerdos comerciales. 

Si @Claudiashein no frena la reforma al Poder Judicial, se afectará notablemente todo su sexenio. No podrá cumplir sus promesas de campaña. Se verá obligada a subir impuestos, a bajar apoyos sociales o a endeudar al país. 

Hoy mas que nunca @Claudiashein necesita el apoyo de los legisladores de Morena para frenar la reforma al Poder Judicial. Todavía existen voces en Morena con preparación y conocimiento que alcanzan a comprender la gravedad de esta reforma.  

Es tiempo de que Morena se atreva a poner un alto a las aspiraciones autoritarias de @lopezobrador_.",https://x.com/RobertoMadrazo_/status/1828193129188786537,tweet,Roberto Madrazo,@RobertoMadrazo_,14,1,50,127,2429,1,2024-08-26 16:09:42,,
1827130119061983359,"En un comunicado #KenSalazar reconoció que elegir por voto popular a jueces y magistrados no resolverá la corrupción judicial, todo lo contrario, se tratará de una elección politizada, que debilitará la impartición de justicia y la integración económica de América del Norte. 

México necesita jueces calificados capaces de resolver litigios comerciales de alta especialización; eliminar la experiencia judicial amenaza la confianza de los inversionistas y contraviene el #TMEC.

La futura presidenta @Claudiashein no puede darse el lujo de dañar la relación comercial con Estados Unidos. #EstadosUnidos es nuestro principal socio comercial, el 80% de las exportaciones mexicanas se dirigen a ese país.

Si verdaderamente se quiere fortalecer el sistema de justicia en México, lo que se debe hacer es robustecerlo. En México hay 4 jueces por cada 100 mil habitantes, mientras que el promedio en el mundo es de 16 jueces por cada 100 mil habitantes.",https://x.com/RobertoMadrazo_/status/1827130119061983359,tweet,Roberto Madrazo,@RobertoMadrazo_,17,0,66,152,1886,0,2024-08-23 17:45:41,,
1826682884444582152,"No importa cuantas veces lo niegue la futura presidenta @Claudiashein, se esta gestando una crisis económica en México ante la posibilidad de que Morena y aliados agandallen la mayoría calificada en la Cámara de Diputados y pasen la reforma al #PoderJudicial.

En los últimos días @MorganStanley , @BankofAmerica y @Citibanamex han alertado sobre el riesgo de invertir en México. 

Además, el peso mexicano se ha depreciado estrepitosamente desde el pasado 2 de junio. 

El futuro de México esta en manos de lo que resuelvan el próximo viernes los Consejeros del @INEMexico, y posteriormente, los 5 magistrados del Tribunal Electoral.  

Para lograr su cometido Morena ofrecerá un “soborno” a los magistrados del #TribunalElectoral: ampliar su mandato hasta 2027 y quitar el candado en la Constitución para que después puedan aspirar a ser ministros de la SCJN.",https://x.com/RobertoMadrazo_/status/1826682884444582152,tweet,Roberto Madrazo,@RobertoMadrazo_,87,4,406,664,10393,6,2024-08-22 12:08:32,https://pbs.twimg.com/amplify_video_thumb/1826682806753525761/img/ifwwo_H8Y3kGmYoU.jpg,https://video.twimg.com/amplify_video/1826682806753525761/vid/avc1/640x368/7NhsJXLSDOWoErkV.mp4?tag=16
1826338681474744825,"Me sumo al llamado de @oleavabogado para exigir a las autoridades electorales respetar la voluntad popular, e impedir que Morena y aliados tengan una representación de más del 8% de su votación nacional, al permitir que Morena permute sus curules a sus aliados PT y PVEM.",https://x.com/RobertoMadrazo_/status/1826338681474744825,tweet,Roberto Madrazo,@RobertoMadrazo_,50,6,362,546,7286,3,2024-08-21 13:20:48,,
1826282464308060193,"Tal como lo ordenó la secretaria de gobernación @LuisaAlcalde, el anteproyecto de la Comisión de Prerrogativas del @INEMexico perfila otorgar a Morena y aliados mayoría calificada en la Cámara de Diputados con 364 diputados. El 72.8% de los curules. 

Mientras que en la Cámara de Senadores se proyecta otorgar 83 senadores a Morena y aliados, faltándoles solamente 2 votos para alcanzar la mayoría calificada. 

Los 5 consejeros electorales Uuc Kib Espadas @Uuckib , Carla Humphrey @C_Humphrey_J , Dania Ravel @DaniaRavel , Norma Irene de la Cruz @NormaIreneD y Arturo Castillo, aun pueden oponerse a este fraude a la ley en la sesión de hoy, basta que hagan una interpretación sistemática del artículo 54 de la Constitución para advertir el uso indistinto de la palabra “partido” y “coalición” al momento de aplicar el límite de la sobrerrepresentación.",https://x.com/RobertoMadrazo_/status/1826282464308060193,tweet,Roberto Madrazo,@RobertoMadrazo_,81,8,256,448,7059,4,2024-08-21 09:37:24,"https://pbs.twimg.com/media/GVhCOCabQAE-9Y4.jpg,https://pbs.twimg.com/media/GVhCOCzWgAA9Wf4.jpg",
1825932211931197934,"Otra vez se adelantó @LuisaAlcalde y salió a explicar el mecanismo para elegir a jueces y magistrados por voto popular, a pesar de que la reforma no ha sido aprobada en ninguna de las dos Cámaras. 

De acuerdo con la Secretaria de Gobernación cada uno de los tres poderes (Legislativo, Ejecutivo y Judicial) formulará una lista con candidatos los cuales serán seleccionados por un “Comité de Evaluación”, de entre los aspirantes que cumplan con los requisitos legales. 

Este método, lejos de utilizar criterios objetivos para seleccionar a los candidatos como podría ser un examen de conocimientos, se basará en el amiguismo, en el influyentismo, en la cuotas y en los cuates de quienes integren el Comité de Evaluación. 

No será “el pueblo” quien elija a los jueces y magistrados, sino que se tratará de acuerdos de la clase política. 
 
Otra maniobra de @lopezobrador_ para concentrar el poder.",https://x.com/RobertoMadrazo_/status/1825932211931197934,tweet,Roberto Madrazo,@RobertoMadrazo_,36,2,147,284,7647,3,2024-08-20 10:25:38,https://pbs.twimg.com/ext_tw_video_thumb/1825932061762531333/pu/img/uFlRmdcOZLx-IsL6.jpg,https://video.twimg.com/ext_tw_video/1825932061762531333/pu/vid/avc1/640x360/IkDbtls03I9KGjHg.mp4?tag=12
1825691614377087015,"Tras aprobarse en la comisión de puntos constitucionales de la Cámara de Diputados el dictamen de reforma al #PoderJudicial, más de 3,500 trabajadores del PJF iniciaron un paro nacional de labores en varios estados y cerraron con cadenas y candados las puertas del Palacio de Justicia de San Lázaro, sede del Consejo de la Judicatura Federal. 

Además, hoy la Asociación Nacional de jueces y magistrados decidirá por voto si procede a un paro general de labores en todo el país. 

Su descontento responde a que las 100 modificaciones que se hicieron al proyecto original endurecieron aun más la reforma, lo que pone en evidencia la simulación de los #foros de la reforma judicial. 

De acuerdo con el dictamen de la Cámara de Diputados, en junio de 2025 se renovarán a todos los ministros de la #SupremaCorte, a la mitad de los 1,700 jueces y magistrados federales y a todas las salas regionales del #TEPJF, lo cual afecta de forma retroactiva los derechos laborales de los trabajadores. 

A solo seis semanas de la salida de @lopezobrador_, el país enfrenta la peor crisis de gobernabilidad de los tiempos modernos, pues deja fracturado uno de los tres Poderes de la Unión.",https://x.com/RobertoMadrazo_/status/1825691614377087015,tweet,Roberto Madrazo,@RobertoMadrazo_,38,3,237,463,4810,3,2024-08-19 18:29:35,,
1824132767023763792,En el video difundido por @CiroGomezL se puede apreciar cómo @UlisesLaraLopez impide el arresto del ex gobernador de Chihuahua @Javier_Corral. https://t.co/Nx0sLk5H6t,https://x.com/RobertoMadrazo_/status/1824132767023763792,tweet,Roberto Madrazo,@RobertoMadrazo_,7,3,38,86,1492,4,2024-08-15 11:15:17,https://pbs.twimg.com/amplify_video_thumb/1824132660882706434/img/mh06JBNNFm_U6x0B.jpg,https://video.twimg.com/amplify_video/1824132660882706434/vid/avc1/640x368/KNftYMkxQt-eNyTu.mp4?tag=16
1824132657950888303,"El encargado de despacho de la fiscalía de la CDMX, @UlisesLaraLopez, impidió que la Fiscalía Anticorrupción de Chihuahua ejecutara la orden de aprensión dictada por un juez en contra de @Javier_Corral, a pesar de que existía un convenio de colaboración entre ambas fiscalías para llevar a cabo la detención. 

Al impedir el arresto, @UlisesLaraLopez cometió el delito de obstrucción de justicia y negación de servicio público, pero seguramente esto es algo que él desconoce, pues como todos sabemos Ulises Lara es un sociólogo disfrazado de abogado, que se tituló en dos días para poder suplir a Ernestina Godoy.   

Ahora, @Javier_Corral se une a la lista de ex gobernadores que brincaron al obradorato para gozar de impunidad.",https://x.com/RobertoMadrazo_/status/1824132657950888303,tweet,Roberto Madrazo,@RobertoMadrazo_,59,9,349,815,9962,4,2024-08-15 11:14:51,,
1823797001177493918,"Los donativos que recibió @MXvsCORRUPCION  de parte del gobierno de Estados Unidos son resultado del valioso trabajo de investigación que hace la organización para combatir la corrupción, no hay nada ilegal en eso. 

Lo que si es ilegal es que el titular de la Unidad de Inteligencia Financiera difunda información sobre los aportaciones y donativos que recibe Mexicanos contra la Corrupción y la Impunidad. 

Tan es así, que Pablo Gómez reconoció que no existe obligación de las asociaciones civiles de informar sobre el origen de sus donativos.

La verdadera intención de las autoridades es amedrentar a los donantes, y debilitar a cualquier contrapeso que investigue actos de corrupción de este gobierno. 

Mi solidaridad con @amparocasar, presidenta de @MXvsCORRUPCION.",https://x.com/RobertoMadrazo_/status/1823797001177493918,tweet,Roberto Madrazo,@RobertoMadrazo_,726,54,1564,3828,64386,24,2024-08-14 13:01:04,,
1823435772319482163,"Al inicio del sexenio @lopezobrador_ prometió autosuficiencia energética. 

Pero en realidad en estos 5 años la #CFE redujo sus utilidades, al pasar de 250 mil millones de pesos en 2018 a 117 mil millones en 2023, pues la electricidad que genera la #CFE es 4 veces más cara que la de los particulares.

Además, entre 2020 y 2022 produjo pérdidas por más de 200 mil millones de pesos.  

Esperemos que Emilia Calleja pueda hacer lo que @ManuelBartlett no pudo: una empresa productiva del Estado.",https://x.com/RobertoMadrazo_/status/1823435772319482163,tweet,Roberto Madrazo,@RobertoMadrazo_,34,3,140,261,3213,3,2024-08-13 13:05:40,,
1823065770974429407,"En su primera declaración el #MayoZambada involucró al actual gobernador de Sinaloa, @rochamoya_, en su captura. En una carta, el Mayo Zambada afirma que fue capturado en un rancho en Culiacán en el que se reuniría con Rubén Rocha Moya y el diputado electo #HéctorCuén, quién fue asesinado ese mismo día. 

De acuerdo con el Mayo Zambada, Rocha Moya es el enlace entre el gobierno y el cártel de Sinaloa. Como en su momento lo fue #GarcíaLuna.

A pesar de esto, el día de hoy todos los gobernadores de Morena salieron a respaldar en un comunicado al gobernador de Sinaloa, sin esperar los resultados de la investigación de la #DEA. 

Por su parte, la @FGRMexico abrió una carpeta de investigación en contra del Mayo Zambada y de Joaquín Guzmán López, y solicitaron la colaboración de Rocha Moya, pero no lo investigarán. 

Los gobernadores de Morena son intocables.",https://x.com/RobertoMadrazo_/status/1823065770974429407,tweet,Roberto Madrazo,@RobertoMadrazo_,47,8,116,326,5884,0,2024-08-12 12:35:25,https://pbs.twimg.com/media/GUzUgU-bQAA02pf.jpg,
1821992480679850271,"¿Encuentran algo raro en esta imagen?

Si se fijan bien el #PAN y el #PRI son la segunda y tercera fuerza política con 18% y 11.8% de la votación nacional emitida, muy por encima del #PT y del #PVEM que obtuvieron 5.8% y 8.9%; sin embargo, en los cálculos de @LuisaAlcalde le corresponden más curules por mayoría relativa al PVEM y al PT que al PAN y al PRI. 

¿Porqué?

Por qué para calcular a los diputados por mayoría relativa @LuisaAlcalde consideró el criterio de COALICIÓN. 

En este sentido, la coalición Morena-PT-PVEM obtuvo 256 distritos electorales por mayoría relativa, los cuales distribuyó 161 para Morena, 38 para PT y 57 para el PVEM. 

Sin embargo, @LuisaAlcalde TRAMPOSAMENTE al momento de calcular el límite a la sobrerrepresentación, no toma el criterio de COALICIÓN del principio de mayoría relativa, toma a su conveniencia el criterio POR PARTIDO de representación proporcional. 

Lo correcto sería que el límite a la sobrerrepresentación se calcule por el criterio de coalición y no de partido, ya que EL LÍMITE A LA SOBRERREPRESENTACIÓN SE CALCULA SOBRE LOS 500 DIPUTADOS ELEGIDOS POR AMBOS PRINCIPIOS.

De esta forma, si la votación nacional de la coalición Morena y aliados es de 56%, su límite de sobrerrepresentación no puede exceder de 64% (56% + 8%), lo que equivale a 320 diputados (el 64% de los 500 diputados elegidos por ambos principios). 

Así las cosas, si de acuerdo con @LuisaAlcalde la coalición Morena-PT-PVEM obtuvo 256 curules por mayoría relativa, podrían obtener un máximo de 64 diputados plurinominales, y no 117 como pretende.

Es importante que la próxima semana el @INEMexico y el @TEPJF_informa tomen en cuenta lo anterior, e impidan el robo de votos que pretenden desde Palacio Nacional.

@CiroMurayamaMx 
@lorenzocordovav",https://x.com/RobertoMadrazo_/status/1821992480679850271,tweet,Roberto Madrazo,@RobertoMadrazo_,409,28,1643,2636,88037,63,2024-08-09 13:30:33,https://pbs.twimg.com/media/GUkDOFwW8AAihCR.jpg,
1821598291148337572,"Van casi 48 horas de bloqueo en la carretera federal #MexicoPuebla. Niños, ancianos y adultos sin baño y sin comida; además de las pérdidas millonarias y de la afectación a los transportistas. 

Claro que @lopezobrador_ no tiene autoridad moral para pedirles que se retiren, después de que en 2006 paró Avenida Reforma por 47 días y de que en 1996 tomo 51 pozos petroleros en Tabasco. 

Por eso ahora los ejidatarios se sienten con derecho a cerrar una autopista por días enteros y exigir a las autoridades federales que les paguen las tierras que se usaron para su construcción en 1958. 

Esto pasa cuando la justicia se hace por propia mano y no hay Estado de Derecho.",https://x.com/RobertoMadrazo_/status/1821598291148337572,tweet,Roberto Madrazo,@RobertoMadrazo_,156,14,480,1261,24613,8,2024-08-08 11:24:10,,
1821268849016369469,"A pesar de que el presidente de Rusia #VladimirPutin tiene una orden de arresto en la Corte Penal Internacional por crímenes de guerra, fue invitado a la toma de posesión de @Claudiashein el 1º de octubre. 

Al parecer es más importante para la Secretaria de Relaciones Exteriores @SRE_mx cumplir con el protocolo que acatar una orden internacional de arresto. 

Gran desacierto de México, pues encima de todo tensa aun más las relaciones con nuestro principal socio comercial, #EstadosUnidos.",https://x.com/RobertoMadrazo_/status/1821268849016369469,tweet,Roberto Madrazo,@RobertoMadrazo_,147,12,284,790,17833,6,2024-08-07 13:35:05,,
1820872544033054964,"Increíble, después de más de una semana el Presidente de México @lopezobrador_ no tiene ni idea de donde salió el avión que trasladó a #ElMayoZambada (el capo más buscado y líder del cártel de Sinaloa) a Texas. 

Hay una enorme desconfianza de parte de las autoridades estadounidenses hacia el gobierno de México. 

La #DEA sabe que el gobierno de México nunca fue un aliado en el combate al crimen organizado.",https://x.com/RobertoMadrazo_/status/1820872544033054964,tweet,Roberto Madrazo,@RobertoMadrazo_,37,3,143,461,7714,3,2024-08-06 11:20:19,https://pbs.twimg.com/amplify_video_thumb/1820872194693505025/img/T6aXEb791ntd0zqV.jpg,https://video.twimg.com/amplify_video/1820872194693505025/vid/avc1/636x360/OBgDg7AlBNLmKb8P.mp4?tag=16
1820481141281091754,"Por tercera ocasión, @lopezobrador_ inauguró la refinería de #DosBocas. 

La refinería llega tarde ante la necesidad de transitar a energías limpias.

La refinería llega con un sobrecosto de 8 mil millones de dólares.

La refinería llega con un #PEMEX prácticamente quebrado, ya que de los 900 mil millones de pesos que PEMEX perdió en el sexenio, 800 mil millones corresponden a la refinación).

La refinería llega prácticamente sin yacimientos para refinar, ante el abandono de #PEMEX Exploración y Producción.
 
Hubiera sido mucho mejor negocio vender petróleo crudo que refinarlo, pues cada barril procesado deja pérdidas de 10 dólares, mientras que cada barril de crudo que exportamos se vende a 68 dólares.",https://x.com/RobertoMadrazo_/status/1820481141281091754,tweet,Roberto Madrazo,@RobertoMadrazo_,617,33,763,2015,65132,17,2024-08-05 09:25:01,,
1819596444309115062,".@ArturoZaldivarL fue nombrado por @Claudiashein coordinador general de Política y Gobierno. 

Arturo Zaldívar no consiguió lo que buscaba, ser el próximo Consejero Jurídico, en cambio será el encargado de gestionar las 18 reformas constitucionales de López Obrador, en particular la reforma al #PoderJudicial.

Arturo Zaldívar pasará a la historia como el judas de la @SCJN, al entregar a sus compañeros para acomodarse en el poder.",https://x.com/RobertoMadrazo_/status/1819596444309115062,tweet,Roberto Madrazo,@RobertoMadrazo_,47,2,219,566,9271,8,2024-08-02 22:49:33,,
1819550168569597994,"@ArturoZaldivarL fue nombrado por @Claudiashein coordinador general de Política y Gobierno. 

Arturo Zaldívar no consiguió lo que buscaba, ser el próximo Consejero Jurídico, en cambio será el encargado de gestionar las 18 reformas constitucionales de López Obrador, entre ellas la reforma al Poder Judicial.

Arturo Zaldívar pasará a la historia como el judas de la @SCJN, al entregar a sus compañeros para acomodarse en el poder.",https://x.com/RobertoMadrazo_/status/1819550168569597994,tweet,Roberto Madrazo,@RobertoMadrazo_,2,1,17,30,1965,1,2024-08-02 19:45:40,,
1819060329612992945,https://t.co/odHqqaaCfK,https://x.com/RobertoMadrazo_/status/1819060329612992945,tweet,Roberto Madrazo,@RobertoMadrazo_,0,0,23,53,844,0,2024-08-01 11:19:13,,
1819060326639300705,"La interpretación literal del artículo 54 constitucional en donde se regula la figura de la #sobrerrepresentación, conduce a un cálculo inequitativo de los curules, al no tomar en cuenta el hecho de que los partidos compitieron en coaliciones.

Por ejemplo, la interpretación literal del artículo 54 constitucional, establece que únicamente los partidos (no coaliciones) que presenten candidatos en 200 distritos electorales de mayoría, tendrán derecho a diputados #plurinominales. 

En este sentido, #MC seria el
único partido con derecho a designar diputados plurinominales, pues MC es el único partido que cumple el requisito, ya que el resto de los partidos compitieron en los distritos electorales mediante la figura de la coalición. 

Del mismo modo, interpretar literalmente el artículo 54 constitucional conduce a otra desigualdad, al permitir que #Morena y aliados obtengan 73% de los curules siendo que sólo consiguieron 54% de los votos. 

Importante análisis de @aguilarcamin",https://x.com/RobertoMadrazo_/status/1819060326639300705,tweet,Roberto Madrazo,@RobertoMadrazo_,30,4,205,477,4781,4,2024-08-01 11:19:13,,
1818817450731094507,"@bereaguilarv Mil, mil gracias querida Bere",https://x.com/RobertoMadrazo_/status/1818817450731094507,tweet,Roberto Madrazo,@RobertoMadrazo_,0,0,0,3,94,0,2024-07-31 19:14:06,,
